No,year,month,day,hour,PM2.5,PM10,season,station
1,2013,3,1,0,4,4,winter,Aotizhongxin
2,2013,3,1,1,8,8,winter,Aotizhongxin
3,2013,3,1,2,7,7,winter,Aotizhongxin
4,2013,3,1,3,6,6,winter,Aotizhongxin
5,2013,3,1,4,3,3,winter,Aotizhongxin
6,2013,3,1,5,5,5,winter,Aotizhongxin
7,2013,3,1,6,3,3,winter,Aotizhongxin
8,2013,3,1,7,3,6,winter,Aotizhongxin
9,2013,3,1,8,3,6,winter,Aotizhongxin
10,2013,3,1,9,3,8,winter,Aotizhongxin
11,2013,3,1,10,3,6,winter,Aotizhongxin
12,2013,3,1,11,3,6,winter,Aotizhongxin
13,2013,3,1,12,3,6,winter,Aotizhongxin
14,2013,3,1,13,3,6,winter,Aotizhongxin
15,2013,3,1,14,6,9,winter,Aotizhongxin
16,2013,3,1,15,8,15,winter,Aotizhongxin
17,2013,3,1,16,9,19,winter,Aotizhongxin
18,2013,3,1,17,10,23,winter,Aotizhongxin
19,2013,3,1,18,11,20,winter,Aotizhongxin
20,2013,3,1,19,8,14,winter,Aotizhongxin
21,2013,3,1,20,11,17,winter,Aotizhongxin
22,2013,3,1,21,12,18,winter,Aotizhongxin
23,2013,3,1,22,15,19,winter,Aotizhongxin
24,2013,3,1,23,24,24,winter,Aotizhongxin
25,2013,3,2,0,22,24,winter,Aotizhongxin
26,2013,3,2,1,14,17,winter,Aotizhongxin
27,2013,3,2,2,13,13,winter,Aotizhongxin
28,2013,3,2,3,3,9,winter,Aotizhongxin
29,2013,3,2,4,3,7,winter,Aotizhongxin
30,2013,3,2,5,9,11,winter,Aotizhongxin
31,2013,3,2,6,4,10,winter,Aotizhongxin
32,2013,3,2,7,3,11,winter,Aotizhongxin
33,2013,3,2,8,3,7,winter,Aotizhongxin
34,2013,3,2,9,10,14,winter,Aotizhongxin
35,2013,3,2,10,11,19,winter,Aotizhongxin
36,2013,3,2,11,18,29,winter,Aotizhongxin
37,2013,3,2,12,26,30,winter,Aotizhongxin
38,2013,3,2,13,25,33,winter,Aotizhongxin
39,2013,3,2,14,26,35,winter,Aotizhongxin
40,2013,3,2,15,37,40,winter,Aotizhongxin
41,2013,3,2,16,37,46,winter,Aotizhongxin
42,2013,3,2,17,44,58,winter,Aotizhongxin
